scenario,scenario_desc,rep,method,RMSE_overall,RMSE_global,RMSE_local,Prec_global,Rec_global,F1_global,runtime_sec
A,"A (downward global, mild locals)",0,GLASS-E,0.012949269026102214,0.005398156115798411,0.027441082247845607,0.16666666666666666,1.0,0.2857142857142857,0.3944282531738281
A,"A (downward global, mild locals)",0,ITF,0.012890836800061537,0.00493984572249608,0.02756095803746048,0.1111111111111111,1.0,0.19999999999999998,
A,"A (downward global, mild locals)",0,Theil-Sen,0.04464394384576058,0.025181118880472492,0.026930843060174084,0.11764705882352941,1.0,0.21052631578947367,
A,"A (downward global, mild locals)",0,LLT,0.03572960056472238,0.012673117813358531,0.03805252287926863,0.16666666666666666,1.0,0.2857142857142857,
A,"A (downward global, mild locals)",0,HP-mean,0.06491030038064191,0.0041480481281690644,0.05286502908878147,0.15384615384615385,1.0,0.2666666666666667,
A,"A (downward global, mild locals)",1,GLASS-E,0.012909674975120598,0.006980256941572253,0.026595858707859195,0.13333333333333333,1.0,0.23529411764705882,0.11527347564697266
A,"A (downward global, mild locals)",1,ITF,0.013097287568932182,0.007339799050942612,0.026759859904786416,0.125,1.0,0.2222222222222222,
A,"A (downward global, mild locals)",1,Theil-Sen,0.0458369010238416,0.029856193590883123,0.030085592152458655,0.16666666666666666,1.0,0.2857142857142857,
A,"A (downward global, mild locals)",1,LLT,0.03744872991379059,0.015533322390539518,0.033932722818289476,0.14285714285714285,1.0,0.25,
A,"A (downward global, mild locals)",1,HP-mean,0.059794187376097166,0.00656809008213555,0.05111942138866442,0.11764705882352941,1.0,0.21052631578947367,
A,"A (downward global, mild locals)",2,GLASS-E,0.009861001537198924,0.006162857184322714,0.028648232004785338,0.2222222222222222,1.0,0.3636363636363636,0.20639514923095703
A,"A (downward global, mild locals)",2,ITF,0.009836498615529495,0.005569956069873827,0.0288962956499843,0.18181818181818182,1.0,0.3076923076923077,
A,"A (downward global, mild locals)",2,Theil-Sen,0.05010837925678777,0.02942012642788498,0.03164913136843693,0.07692307692307693,0.5,0.13333333333333336,
A,"A (downward global, mild locals)",2,LLT,0.03661747857505429,0.013137947408973524,0.03780553084397723,0.13333333333333333,1.0,0.23529411764705882,
A,"A (downward global, mild locals)",2,HP-mean,0.05331317072064565,0.003728302861230945,0.040510695529863215,0.13333333333333333,1.0,0.23529411764705882,
A,"A (downward global, mild locals)",3,GLASS-E,0.014661571398978376,0.005461996133951311,0.024771946957136186,0.15384615384615385,1.0,0.2666666666666667,0.13359880447387695
A,"A (downward global, mild locals)",3,ITF,0.014943050725637235,0.003941213157417669,0.02508726303125898,0.10526315789473684,1.0,0.1904761904761905,
A,"A (downward global, mild locals)",3,Theil-Sen,0.045002673870071876,0.026900665751135748,0.028561867356914475,0.15384615384615385,1.0,0.2666666666666667,
A,"A (downward global, mild locals)",3,LLT,0.03727617381267954,0.011284684300586033,0.03614477243680504,0.3333333333333333,1.0,0.5,
A,"A (downward global, mild locals)",3,HP-mean,0.06411435764234968,0.002939111151909545,0.05573072304778996,0.1111111111111111,1.0,0.19999999999999998,
A,"A (downward global, mild locals)",4,GLASS-E,0.011616026567180105,0.0043749471057750655,0.02703042037916209,0.15384615384615385,1.0,0.2666666666666667,0.1228179931640625
A,"A (downward global, mild locals)",4,ITF,0.011538519376641925,0.004336276947318316,0.02714789551654429,0.13333333333333333,1.0,0.23529411764705882,
A,"A (downward global, mild locals)",4,Theil-Sen,0.04616179727052001,0.025623550232110638,0.029541050042240065,0.1111111111111111,1.0,0.19999999999999998,
A,"A (downward global, mild locals)",4,LLT,0.03602154632193476,0.00933841264335826,0.034987280214181925,0.15384615384615385,1.0,0.2666666666666667,
A,"A (downward global, mild locals)",4,HP-mean,0.06137889025649522,0.00333994698420709,0.050562604701826254,0.11764705882352941,1.0,0.21052631578947367,
A,"A (downward global, mild locals)",5,GLASS-E,0.01345704303759239,0.004718864012396188,0.027851082359918324,0.13333333333333333,1.0,0.23529411764705882,0.1292405128479004
A,"A (downward global, mild locals)",5,ITF,0.013530802618516509,0.00385838767972848,0.027991394579427224,0.11764705882352941,1.0,0.21052631578947367,
A,"A (downward global, mild locals)",5,Theil-Sen,0.043544277614027585,0.023714941046261425,0.028204395552309428,0.1111111111111111,1.0,0.19999999999999998,
A,"A (downward global, mild locals)",5,LLT,0.037112086351539786,0.010211759060004993,0.03737086234559128,0.14285714285714285,0.5,0.22222222222222224,
A,"A (downward global, mild locals)",5,HP-mean,0.06691650563258449,0.002411384406980795,0.05597587774282793,0.10526315789473684,1.0,0.1904761904761905,
A,"A (downward global, mild locals)",6,GLASS-E,0.009381072722367285,0.0041675528324178245,0.029158647248570483,0.15384615384615385,1.0,0.2666666666666667,0.11911368370056152
A,"A (downward global, mild locals)",6,ITF,0.009498077103190741,0.004270293886515153,0.029348518530527393,0.125,1.0,0.2222222222222222,
A,"A (downward global, mild locals)",6,Theil-Sen,0.04599879973363829,0.027211689925202016,0.02970307474421316,0.13333333333333333,1.0,0.23529411764705882,
A,"A (downward global, mild locals)",6,LLT,0.036760309658873724,0.010912501628158098,0.0373114281735384,0.13333333333333333,1.0,0.23529411764705882,
A,"A (downward global, mild locals)",6,HP-mean,0.05998340567002915,0.0031020632596752275,0.05007610713568461,0.10526315789473684,1.0,0.1904761904761905,
A,"A (downward global, mild locals)",7,GLASS-E,0.01427230439007535,0.0023037745422673315,0.026916610815474994,0.18181818181818182,1.0,0.3076923076923077,0.13098931312561035
A,"A (downward global, mild locals)",7,ITF,0.014257304353436718,0.002231191385626603,0.027035702039400485,0.14285714285714285,1.0,0.25,
A,"A (downward global, mild locals)",7,Theil-Sen,0.04547853390177348,0.02724793263906823,0.027389649594660608,0.11764705882352941,1.0,0.21052631578947367,
A,"A (downward global, mild locals)",7,LLT,0.03657241490637123,0.010351989947715863,0.03743212101882907,0.09090909090909091,0.5,0.15384615384615385,
